year,cash,equity,asset
2017,31583,357954,702095
2016,28048,285428,620854
2015,71730,258627,552257
2014,63269,243027,525867
2013,48186,224485,484931
2012,46992,191588,427452
2011,37299,168961,392647
2010,38227,162934,372229
2009,30558,135785,297119
2008,25539,113707,267399
2007,44329,123401,273160
2006,43743,110681,248437
2005,44660,92300,198325
2004,43427,86658,188874
2003,35957,78341,180559
2002,12748,65428,169544
2001,,59299,162752
2000,5263,62993,135792
1999,3835,59184,131416
1998,13582,59047,122237
1997,,31912,56111
1996,,23761,43409
1995,2744,17003,28711
1994,289,12074,21338
1993,1838,10610,19521
1992,1192,9025,16944
1991,762,7497,14462
1990,247,5381,10670
