Date,num_stocks_cpf_port,sti_px,cpf_oa_port_val,Dividends_per_share
05/01/15,0,3.35,0,
06/01/15,1800,3.24,5562,
07/15/15,2800,2.97,8372,0.049
08/12/15,3800,2.85,10564,
09/13/15,5800,3.04,15486,
10/10/15,5800,2.92,16530,
11/11/15,5800,2.95,15892,
12/12/15,6800,2.63,18768,
01/12/16,6800,2.69,16728,
02/03/16,7500,2.86,19275,0.107
03/21/16,7900,2.87,21567,
04/12/16,8300,2.84,22742,
05/12/16,9200,2.88,24932,
06/10/16,9800,2.88,26950,
07/12/16,10200,2.86,28050,
08/12/16,10600,2.91,29362,0.084
09/10/16,11600,2.86,32712,
10/12/16,12300,2.95,34071,
11/12/16,12300,2.94,35178,
12/09/16,12300,3.11,35055,
01/12/17,12300,3.1,37023,
02/25/17,13900,3.19,41700,0.053
03/25/17,14500,3.2,45530,
04/24/17,15300,3.26,48195,
05/24/17,15300,3.27,49113,
06/22/17,15300,3.32,49266,
07/21/17,16100,3.32,52647,0.048
08/24/17,16100,3.25,53452,
09/24/17,16500,3.42,53625,
10/25/17,17600,3.48,60192,
11/24/17,17600,3.45,61072,
12/23/17,17600,3.58,60544,
01/24/18,17600,3.52,64416,
02/22/18,17600,3.43,61952,0.053
03/23/18,17600,3.637,60368,
04/24/18,17600,3.5,63184,
05/17/18,17600,3.321,63008,
06/24/18,17600,3.388,58960,
07/12/18,17600,3.251,58432,
08/10/18,17600,3.299,58080,0.06
09/12/18,19300,3.061,60795,
10/12/18,19300,3.156,60216,
11/10/18,20600,3.1,64272,
12/12/18,20600,3.247,63860,
01/11/19,20600,3.218,67362,
02/19/19,20600,3.191,66332,0.056
03/12/19,22600,3.21,72388,
